symbol_a,symbol_b,Q_beta,Q_alpha,R,half_life_minutes,capital_inr,skipped,skip_reason,error,TOTAL_TRADES,TOTAL_NET_PNL,TOTAL_GROSS_PNL,TOTAL_WIN_RATE,IS_TRADES,IS_WIN_RATE,IS_NET_PNL,IS_GROSS_PNL,OOS_TRADES,OOS_WIN_RATE,OOS_NET_PNL,OOS_GROSS_PNL,Z_ENTRY,Z_STOP,Z_EXIT
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-9658.58568995303,-474.9000000000344,32.18390804597701,139,30.215827338129497,-8602.851303637039,-1261.5000000000466,35,40.0,-1055.7343863159874,786.6000000000122,2.0,9.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-9913.96988421827,6.9999999997301074,30.319148936170212,150,30.0,-7703.3965914003065,217.59999999969295,38,31.57894736842105,-2210.573292817963,-210.59999999996285,2.0,9.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-10621.559320460785,144.50000000021305,26.470588235294116,162,25.308641975308642,-8163.22692057081,391.50000000019077,42,30.952380952380953,-2458.332399889978,-246.9999999999775,2.0,9.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-7455.907926969049,1727.4999999999418,32.758620689655174,139,30.215827338129497,-7687.442773997035,-345.500000000043,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,10.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-7791.346178034297,2129.3999999997063,30.851063829787233,150,30.0,-6787.988061760304,1133.5999999996966,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,10.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-8441.296693380784,2324.5000000002174,26.96078431372549,162,25.308641975308642,-7247.818390930807,1307.5000000001944,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,10.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-7455.907926969049,1727.4999999999418,32.758620689655174,139,30.215827338129497,-7687.442773997035,-345.500000000043,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,10.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-7791.346178034297,2129.3999999997063,30.851063829787233,150,30.0,-6787.988061760304,1133.5999999996966,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,10.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-8441.296693380784,2324.5000000002174,26.96078431372549,162,25.308641975308642,-7247.818390930807,1307.5000000001944,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,10.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-7156.101639969048,2027.4999999999418,32.758620689655174,139,30.215827338129497,-7387.636486997035,-45.500000000042974,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,11.0,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-7491.539891034296,2429.3999999997063,30.851063829787233,150,30.0,-6488.181774760304,1433.5999999996966,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,11.0,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-8141.490406380783,2624.5000000002174,26.96078431372549,162,25.308641975308642,-6948.012103930807,1607.5000000001944,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,11.0,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-7210.466513345063,1973.0999999999267,32.758620689655174,139,30.215827338129497,-7442.00136037305,-99.90000000005807,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,11.5,0.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,188,-7362.023575050264,2558.9999999997367,30.851063829787233,150,30.0,-6358.665458776274,1563.199999999727,38,34.21052631578947,-1003.358116273991,995.8000000000095,2.0,11.5,0.5
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,204,-7883.0573869867785,2883.100000000225,26.96078431372549,162,25.308641975308642,-6689.579084536801,1866.100000000202,42,33.333333333333336,-1193.478302449978,1017.0000000000225,2.0,11.5,1.0
BDL,COCHINSHIP,1e-12,6.5688583e-07,0.00051259739,6.3743849,50000.0,False,,,174,-7210.466513345063,1973.0999999999267,32.758620689655174,139,30.215827338129497,-7442.00136037305,-99.90000000005807,35,42.857142857142854,231.53484702798505,2072.9999999999845,2.0,12.0,0.0
