Pair,Half_Life,1D_Pearson,1D_ADF,Net_PnL
ABCAPITAL-AEGISVOPAK,457.02,0.6714794648937289,0.1171212950896699,6509.64
360ONE-ABLBL,619.18,0.7668617684691463,0.05945125073036831,6469.1
HAL-LALPATHLAB,580.44,0.6660464431340921,0.16654781421083287,6465.82
ACE-UNOMINDA,493.46,0.7217889859798242,0.036300295943077085,6450.16
PIIND-UCOBANK,578.65,0.8575192123873598,0.006526819370032991,6446.14
ATUL-KEI,381.12,0.8616813303701696,0.03359074324677302,6443.52
MEDANTA-VIJAYA,420.14,0.7491622969290995,0.09746338268758797,6419.9
ABCAPITAL-CHOLAHLDNG,420.51,0.7990809759366334,0.04435291090231579,6364.55
ITI-TATACOMM,569.67,0.7253996329030983,0.11523931245528163,6351.9
BEML-NEULANDLAB,605.62,0.6953905320335976,0.1232102067386503,6344.52
ERIS-PAYTM,529.39,0.8493707036279319,0.0037194489912889426,6339.36
JUBLINGREA-OBEROIRLTY,519.79,0.8562054530464112,0.06414570389696493,6333.73
AEGISLOG-RITES,503.16,0.8360746592793,0.07993045670062482,6327.84
BHARTIHEXA-MRF,549.48,0.8731507109418716,0.02316983356275402,6326.66
JBMA-JUBLINGREA,413.69,0.8293619383045387,0.005339920665692998,6300.3
360ONE-ITCHOTELS,522.73,0.8269716944464903,0.10773395983825196,6253.08
AMBUJACEM-INDIGO,558.43,0.9023203848078081,0.0026317229567023085,6246.76
CANFINHOME-ESCORTS,421.91,0.8426828499203234,0.004705260741882303,6243.79
BATAINDIA-HINDPETRO,612.26,0.9276259520465145,0.08231631806800199,6231.8
AADHARHFC-HBLENGINE,303.38,0.7241656467228701,2.7045997023834606e-05,6231.23
CCL-JINDALSTEL,514.43,0.7487528567437909,0.07310215823937119,6190.3
LENSKART-SUPREMEIND,595.79,0.7299115582763471,0.1750428939046053,6180.77
DEVYANI-SAPPHIRE,236.84,0.9659915464282859,0.0015567478983731916,6178.88
EIHOTEL-ZEEL,493.42,0.7842732830433867,0.1280870915730699,6175.26
LUPIN-SCHNEIDER,556.44,0.7165959306277536,0.1337674662721265,6171.03
ASAHIINDIA-DLF,511.97,0.8999455553913605,0.06318306525031883,6141.33
AFCONS-LEMONTREE,541.4,0.9325771787206032,0.09936441077664465,6136.16
GODIGIT-MRF,376.49,0.7684052470108174,0.08487545078068487,6131.99
GAIL-GODREJIND,575.11,0.7729795310903378,0.13027566279892866,6130.65
CARTRADE-ECLERX,525.3,0.9736756755302787,0.005441038519446214,6129.01
NMDC-SCHNEIDER,499.7,0.6761464359847775,0.10464133790740193,6125.29
CANFINHOME-EIHOTEL,384.19,0.7449161012808948,0.04595196864744465,6116.43
360ONE-CRISIL,532.64,0.7418832889436083,0.15527390551764514,6092.58
ABFRL-LICI,562.63,0.820344389779583,0.15742944065951692,6070.1
CCL-SONACOMS,563.4,0.7888430520674218,0.06197990953393937,6055.92
GODREJIND-WOCKPHARMA,572.37,0.8596744700611127,0.007903129904658933,6054.01
CGCL-OLAELEC,605.33,0.8094525726581246,0.015226684583652244,6053.11
CIEINDIA-ICICIAMC,482.69,0.8001861663982143,0.08039787527588732,6029.44
ATUL-GESHIP,433.69,0.8565979293620977,0.09168029075554829,6025.6
AADHARHFC-COCHINSHIP,362.49,0.7757773970444706,1.331943731861716e-07,6023.85
ASAHIINDIA-MINDACORP,488.59,0.8437452029433352,0.02708735667624141,6022.08
AADHARHFC-COHANCE,465.91,0.6607588366088656,1.85900632159287e-05,6009.43
ASAHIINDIA-MPHASIS,598.43,0.8923713936062383,0.045827878035244296,6005.82
LENSKART-VTL,615.52,0.7806425460792188,0.11942538843704237,6003.35
CANFINHOME-KEC,334.26,0.8092349740570959,0.013608761854341336,5997.96
SBIN-TMCV,549.94,0.8651733631682343,0.06928698474445685,5997.12
AEGISLOG-UNOMINDA,597.65,0.7749200829790092,0.060593886298950086,5993.1
CANFINHOME-HDFCBANK,502.08,0.7643345308240268,0.031406225893702074,5992.23
BALRAMCHIN-ENRIN,540.72,0.78788525354651,0.037651819147697496,5965.9
AEGISLOG-SUMICHEM,606.4,0.7612248893257919,0.10035756404970553,5943.0
AEGISLOG-HDFCAMC,536.84,0.6727251444433406,0.0584389969349935,5941.3
CANFINHOME-RPOWER,299.08,0.7725540160245317,0.0265327860558193,5930.69
BAJAJHFL-CANFINHOME,511.14,0.8650844074557108,0.0017093131246629064,5926.19
EMCURE-EMMVEE,511.59,0.830512288225843,1.099272152758797e-05,5925.05
CARTRADE-HEXT,338.44,0.9796125010919463,0.0003744529842973894,5920.76
ATUL-BAJAJ-AUTO,325.6,0.79834162839898,0.044316356157721754,5919.67
BALKRISIND-HINDPETRO,461.97,0.761251171189466,0.12824503974478424,5919.32
LATENTVIEW-SWANCORP,552.51,0.9542270284033832,0.09576961732473033,5918.78
BAJAJHLDNG-ULTRACEMCO,458.98,0.689832165547838,0.17314424088783364,5913.02
ABFRL-ACE,480.83,0.7685731825573612,0.14895264082042758,5905.26
KFINTECH-NAUKRI,453.07,0.9047497911148917,0.13412418171168206,5899.61
GICRE-STARHEALTH,462.35,0.7517821925542855,0.012179114891449181,5878.49
COCHINSHIP-HUDCO,596.17,0.8866548336458783,0.029826107556171474,5852.43
CANFINHOME-GRAVITA,551.68,0.6923308473597125,0.17321114187499637,5837.43
NCC-USHAMART,572.92,0.6763897922312491,0.08285739348023469,5834.52
CHALET-LATENTVIEW,503.09,0.9365310947076416,0.0012630253068684765,5833.21
JSL-KOTAKBANK,588.22,0.6671120923249116,0.008523959114735774,5831.7
GROWW-STARHEALTH,608.49,0.7797708729318641,0.039667392344785224,5821.47
ABLBL-DLF,337.23,0.9415086154956348,0.0006897973242858429,5819.29
SIEMENS-TARIL,567.51,0.6708105497789494,0.11815219372300079,5818.98
GAIL-SOBHA,525.28,0.8628943331673102,0.022350601073841958,5817.18
360ONE-BAJAJFINSV,600.77,0.8127877158705653,0.16899892607655925,5816.49
BBTC-KOTAKBANK,442.39,0.9697530910769371,5.574546875919908e-06,5804.05
ANURAS-MEDANTA,362.96,0.6703112243772963,0.0013067502797123544,5798.46
ANURAS-MANAPPURAM,380.78,0.6673998741217444,0.023751520111431015,5785.2
MOTILALOFS-USHAMART,539.01,0.7559786888626393,0.0038325103846316697,5779.43
ACC-ITCHOTELS,314.92,0.9737429885904259,0.01136590471076275,5766.77
CANHLIFE-HINDCOPPER,411.7,0.7707338891453436,0.02663119349233757,5761.88
CCL-GALLANTT,550.43,0.7319848611411646,0.0587119820058688,5759.36
BIKAJI-FIVESTAR,490.22,0.897976447014196,0.004457140043739067,5755.54
SCHAEFFLER-TIINDIA,534.97,0.7824036332359865,0.020620851168080535,5739.72
HINDPETRO-SOBHA,612.77,0.8400196722874136,0.06115934586789083,5738.0
360ONE-HINDPETRO,591.14,0.8756797531189264,0.009474200461435095,5736.83
EIHOTEL-HDBFS,563.04,0.8615840383453014,0.01644122086684968,5734.08
MSUMI-PIIND,529.58,0.8359269074994541,0.005395675076823454,5731.76
BIKAJI-TBOTEK,425.86,0.8293504670679172,0.17333306782720875,5710.34
ANANTRAJ-UNOMINDA,585.45,0.8594310321541401,0.005118420228134823,5695.37
BIKAJI-PWL,514.88,0.8734328123069236,0.032069743046661124,5691.11
DEVYANI-ZEEL,519.17,0.8096580579713574,0.07774238486309266,5687.27
CHENNPETRO-NTPC,548.01,0.7198755904794912,0.05575429987384306,5662.01
