symbol_a,symbol_b,pearson_rho,t_stat,p_value,n_obs,rank
JIOFIN,PNB,0.362682,81.7556,0.0,44132,409
CGPOWER,HAL,0.362668,81.752,0.0,44132,410
ADANIPORTS,JIOFIN,0.362591,81.732,0.0,44132,411
LTF,SHRIRAMFIN,0.362558,81.7236,0.0,44132,412
ANGELONE,IREDA,0.362426,81.6891,0.0,44132,413
CONCOR,IREDA,0.362213,81.6339,0.0,44132,414
PNB,RBLBANK,0.361995,81.5773,0.0,44132,415
MAZDOCK,RECLTD,0.361881,81.5478,0.0,44132,416
CGPOWER,RVNL,0.361857,81.5415,0.0,44132,417
LTM,TATAELXSI,0.361669,81.4928,0.0,44132,418
COCHINSHIP,ZENTEC,0.361652,81.4883,0.0,44132,419
BHARATFORG,MOTHERSON,0.361522,81.4547,0.0,44132,420
GLENMARK,LAURUSLABS,0.361269,81.3891,0.0,44132,421
NBCC,TITAGARH,0.360982,81.3149,0.0,44132,422
HEROMOTOCO,MOTHERSON,0.360873,81.2867,0.0,44132,423
JIOFIN,LTF,0.360745,81.2533,0.0,44132,424
INFY,TATAELXSI,0.360739,81.252,0.0,44132,425
AUROPHARMA,LUPIN,0.360722,81.2475,0.0,44132,426
BEL,SOLARINDS,0.360497,81.1894,0.0,44132,427
LODHA,PHOENIXLTD,0.360464,81.1807,0.0,44132,428
HINDCOPPER,VEDL,0.360432,81.1311,0.0,44087,429
CGPOWER,MAZDOCK,0.360231,81.1204,0.0,44132,430
JIOFIN,RELIANCE,0.360168,81.1042,0.0,44132,431
HAL,IREDA,0.360031,81.0687,0.0,44132,432
CDSL,TATAPOWER,0.359978,81.055,0.0,44132,433
IRCTC,RVNL,0.359951,81.0479,0.0,44132,434
HEROMOTOCO,TMPV,0.359804,81.0099,0.0,44132,435
UNIONBANK,YESBANK,0.359789,81.0059,0.0,44132,436
CDSL,LTF,0.359747,80.9953,0.0,44132,437
CHOLAFIN,SHRIRAMFIN,0.359591,80.955,0.0,44132,438
