pair,wc_adf_stat,wc_pval,dr_adf_stat,dr_pval,ols_adf_stat,ols_pval
BANKINDIA-RBLBANK,-9.2511,0.0,-10.6035,0.0,-1.2389,0.656624
HCLTECH-LTM,-18.4709,0.0,-20.3114,0.0,-1.1783,0.682871
OFSS-TECHM,-8.9716,0.0,-10.2099,0.0,-1.5616,0.502852
RAILTEL-RITES,-20.3069,0.0,-24.7535,0.0,-0.6865,0.850222
JINDALSTEL-SAIL,-14.9513,0.0,-15.5707,0.0,0.4873,0.984481
BEML-DATAPATTNS,-10.2821,0.0,-12.6908,0.0,-1.1534,0.693322
DLF-IRFC,-11.0001,0.0,-14.5224,0.0,-1.7671,0.396894
OFSS-WIPRO,-11.7201,0.0,-14.1986,0.0,-1.6855,0.438599
ADANIGREEN-IREDA,-7.6813,0.0,-7.8456,0.0,-0.2465,0.932753
IREDA-SJVN,-11.9628,0.0,-13.0502,0.0,-1.0953,0.716942
ETERNAL-SWIGGY,-16.0318,0.0,-19.1017,0.0,-0.9794,0.760696
DLF-RECLTD,-9.1076,0.0,-9.9106,0.0,-1.2151,0.667069
DLF-JIOFIN,-17.0942,0.0,-17.9282,0.0,-1.1412,0.698373
INOXWIND-JIOFIN,-11.3066,0.0,-14.7752,0.0,-1.709,0.426499
ADANIENSOL-TATAPOWER,-9.2965,0.0,-10.474,0.0,-1.759,0.400994
INOXWIND-RECLTD,-8.5867,0.0,-8.6545,0.0,-1.3355,0.612772
CENTRALBK-UCOBANK,-13.82,0.0,-22.2684,0.0,-2.3434,0.158343
