symbol_a,symbol_b,net_profit,gross_profit,total_fees,win_rate,trade_count,max_drawdown,exit_reasons
ADANIENT,ADANIGREEN,-15204.617439622252,14112.036525002575,29316.653964624842,0.39555555555555555,450,15403.74953118544,mr;se
IREDA,IRFC,5788.1309520020595,10363.63976500032,4575.508812998268,0.6571428571428571,70,404.2005164336979,mr
BANKBARODA,PNB,-10284.583029195437,5525.499135001324,15810.082164196763,0.3181818181818182,242,10496.083761513886,mr;se;sl
BANKINDIA,PNB,7110.988070000936,22404.113540001206,15293.125470000277,0.5982905982905983,234,1243.7901796883602,mr;se;sl
BEL,MAZDOCK,-5093.66728103134,683.5155000004975,5777.182781031839,0.3595505617977528,89,5918.203403816515,mr;se;sl
CANBK,UNIONBANK,1440.6746902002392,18693.123355001506,17252.44866480128,0.5,264,4669.073419710154,mr;se;sl
ADANIENSOL,ADANIGREEN,-27215.445470063627,5162.9874000027785,32378.43287006636,0.323943661971831,497,27123.39013478244,mr;se
COCHINSHIP,MAZDOCK,7505.95721209026,25864.752600001553,18358.795387911316,0.5283687943262412,282,3114.668185176696,mr;se
BDL,BEL,-15312.138158442935,1728.7709000013565,17040.90905844431,0.2950191570881226,261,15202.431975667998,mr;se
BANKBARODA,BANKINDIA,4693.72977217069,22013.86310500141,17320.133332830737,0.5207547169811321,265,1475.1188599988818,mr;se
BDL,GRSE,-25689.111446919567,-9326.389299998773,16362.722146920818,0.21428571428571427,252,25576.5083698132,mr;se
HINDZINC,VEDL,3266.12364979566,28419.43623500204,25153.312585206404,0.43116883116883115,385,10168.626746207769,mr;se
DLF,GODREJPROP,1551.0819658726139,4162.060375000199,2610.978409127585,0.6,40,582.643514926542,mr;se
NATIONALUM,VEDL,3413.8496418596196,21111.732875001468,17697.88323314185,0.4981549815498155,271,4502.953700463993,mr;se
PNB,UNIONBANK,-3383.3788958109194,14264.063575001499,17647.442470812413,0.4,270,5047.233924102102,mr;se
IRCON,RVNL,10631.696808224373,28801.72400500148,18170.027196777126,0.5539568345323741,278,724.3097923275377,mr;se
GRAPHITE,HEG,16409.92479553265,32274.82887500132,15864.90407946868,0.6378600823045267,243,1147.5435453987916,mr;se
BANKBARODA,UNIONBANK,5368.271869320538,23400.282590001516,18032.010720680948,0.5434782608695652,276,851.5541084516747,mr;se
ADANIENT,ADANIPORTS,-6212.771684731752,18706.45430000212,24919.225984733883,0.4177545691906005,383,7528.448731021165,mr;se
HINDZINC,NATIONALUM,-9886.652829059238,-4206.554099999503,5680.09872905974,0.12643678160919541,87,10041.527122688238,mr;se;sl
BANKINDIA,INDIANB,3788.1024470979833,16205.64259500111,12417.540147903126,0.531578947368421,190,2385.210232747549,mr;se
HCLTECH,TCS,-20218.63836471308,1067.8452500018202,21286.483614714874,0.2682926829268293,328,20352.52615525879,mr;se;sl
IRCON,RAILTEL,-896.7138055288966,2499.146365000362,3395.8601705292585,0.4230769230769231,52,2868.0978801206356,hl;mr;se
HINDALCO,NATIONALUM,-3505.2149718201927,6746.9849500008895,10252.199921821084,0.3630573248407643,157,6195.9396107917655,mr;se
