symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,spread_mean,spread_std,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,adf_pvalue,tradeable,skipped
BANKINDIA,UNIONBANK,0.5785955089782444,14,27527,1e-12,4.2922303597500174e-05,0.007769328709631971,40514.85646947899,15,False,0.4942683263620875,2.4916037044044455,-5.470465904565036e-07,0.0014616959857230549,0.19219338331790256,-2.566459513120947e-07,0.0009062001314942427,3.606509072237033,0.06010848453728389,0.8251472833422159,-4.487524180614115e-08,0.07344259210354374,0.749172308639094,False,False
HAL,MAZDOCK,0.5763677642469147,15,27527,1e-12,6.237320950116804e-06,0.004458498502360082,48658.638858231934,15,False,0.5098077196762533,4.363913215837429,-1.7229715279335004e-06,0.0018608307920538764,0.09813054259532676,-1.8045592811408516e-07,0.0008243066318220144,7.063521328098259,0.11772535546830433,0.9065305551779079,-1.6867115415678896e-08,0.19807146580992116,0.6341868946684538,False,False
HINDPETRO,IOC,0.5760675120342044,16,27527,1e-12,5.307552776008308e-05,0.009225510841448088,38131.23733107606,15,False,1.1132064921106186,0.3825073755420272,-9.70394551441382e-07,0.001543919219841403,0.21238771278505322,-8.31697417483601e-07,0.0010063553645864125,3.2635936018645495,0.05439322669774249,0.808651112405013,-1.5914437565111057e-07,0.061661137730150216,0.6174213987097812,False,False
ADANIENT,ADANIGREEN,0.5750074400452473,17,27527,1e-12,6.0886456631231755e-05,0.033557150688055114,20827.00075767984,15,False,0.7672897570668857,2.405455063952669,4.33382575487921e-06,0.001693300768489505,0.14275783911528547,2.3148698081690053e-06,0.0009035349611205784,4.855405383379245,0.08092342305632075,0.8669639882437443,3.079610470137731e-07,0.12330001265100016,0.9607325067648588,False,False
IREDA,IRFC,0.5729160670388255,18,27527,1e-12,3.5719618824976893e-06,0.00033747584577067404,83191.11739995456,15,False,0.6813285205232775,1.6406710529004678,1.7803457689601052e-06,0.0011500057305642982,0.30376099082888586,9.03001599039611e-07,0.0008952852170926862,2.2818834593228194,0.03803139098871366,0.7380372430416509,2.3655278842221425e-07,0.03130099099230976,0.0655229092983848,False,False
BANKBARODA,PNB,0.5692820524600195,19,27527,1e-12,3.790630006644002e-05,0.005262266894080825,45730.898290281206,15,False,1.0900983180242434,0.4561530310704187,-4.883903083119555e-07,0.001259552251858617,0.24520575235078115,-3.305867373138435e-07,0.0008820258103734948,2.82679820483313,0.047113303413885504,0.7825435115095403,-7.188823103778645e-08,0.054067075597718735,0.30835119385289295,False,False
BANKINDIA,PNB,0.56893308926589,20,27527,1e-12,1.782150978427119e-05,0.002489577144121699,56023.857365496246,15,False,0.7318321221423891,1.540040124083023,1.6991892199788203e-07,0.0013222038101035746,0.2208225793325,3.4079040831877843e-07,0.0008786680546822624,3.138932543289653,0.05231554238816088,0.8018589340177608,6.752457478080533e-08,0.05951972208667395,0.4320790665998164,False,False
BEL,MAZDOCK,0.5688595618037797,21,27527,1e-12,1.833772686121616e-05,0.017102854808379243,30236.881562610197,15,False,0.5975290070383628,1.4080773715343164,-3.901487143812278e-06,0.002074541268518238,0.09274216028158555,5.272168148175931e-07,0.0008915049102319246,7.473916700402475,0.12456527834004125,0.9114284724629549,4.669639863160966e-08,0.22103769403208984,0.42132468723988203,False,False
CANBK,UNIONBANK,0.5659548629723078,22,27527,1e-12,6.771864146322283e-05,0.012291046354033677,34203.191108893734,15,False,1.2606479307212946,-1.5238366447125837,2.274151847987309e-06,0.001739785731457858,0.2142827268462901,9.000848568115179e-07,0.0011374173213637645,3.234731939253114,0.0539121989875519,0.8071201582243683,1.7360822476644766e-07,0.06730812396606599,0.6742497012503461,False,False
ADANIENSOL,ADANIGREEN,0.5639436106949239,23,27527,1e-12,2.057481186241654e-05,0.011458682993161228,35609.87032744904,15,False,1.0533486677902364,-0.3079431653191557,-1.3334098506020695e-06,0.002223773023458984,0.14347668538888214,-1.3529261002719455e-06,0.0011912514618944955,4.831078852157931,0.08051798086929884,0.8663409983552597,-1.8083075186146007e-07,0.12890219968611044,0.4280882374901438,False,False
