symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,Q_beta,Q_alpha,R,log_likelihood_final,em_iterations,em_converged,beta_mean,alpha_mean,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ar1_phi,ar1_c,hurst_exponent,spread_mean,spread_std,adf_pvalue,tradeable,skipped
HINDALCO,VEDL,0.486793396431593,68,27527,1e-07,1.6737530680011635e-07,1.5259600111453882e-07,144885.9409293765,50,False,0.44365924819924946,4.376832501477478,,,,,,,,,,,0.13135105786845525,False,False
IRCON,JWL,0.4842259742459245,69,27527,1e-07,3.242284899776763e-07,5.509200242710469e-07,139883.72448792166,50,False,0.3656942334673069,2.927135751021287,,,,,,,,,,,0.7293014944811421,False,False
DLF,LODHA,0.4839862606122131,70,27527,1e-07,2.805015475189782e-07,4.207492410554309e-07,138308.2129356854,50,False,0.7018118625633226,1.600197601614345,,,,,,,,,,,0.5849448081773773,False,False
TCS,TECHM,0.482298287993059,71,27527,1e-07,2.4440583856009434e-07,3.234548359989334e-07,138111.40520212206,50,False,-0.15310830000922626,9.073587672765218,,,,,,,,,,,0.7505397511470124,False,False
DATAPATTNS,MAZDOCK,0.481835436142987,72,27527,1e-07,3.760531127662456e-07,8.840098850501021e-07,131903.44964348245,50,False,1.1400979478148945,-0.9152063014922966,,,,,,,,,,,0.8458363902641514,False,False
JBCHEPHARM,TORNTPHARM,0.4790127455092663,73,27527,1e-07,2.4368158465369656e-07,3.650737565828338e-07,135410.97785026382,50,False,0.7628447453742514,1.230577516281267,,,,,,,,,,,0.5164087654102679,False,False
BANKBARODA,SBIN,0.4782819134034267,74,27527,1e-07,2.2070343093929015e-07,2.7545055061785646e-07,138811.95647620078,50,False,1.2877863052044207,-3.305450251241847,,,,,,,,,,,0.6365171843345233,False,False
HINDALCO,TATASTEEL,0.4779999217409171,75,27527,1e-07,2.2558802083043114e-07,2.112820358736606e-07,143825.62969033344,50,False,1.1153323959640982,0.9673241735075419,,,,,,,,,,,0.37865970727093934,False,False
INFY,TECHM,0.4764960470803809,76,27527,1e-07,2.127376594736179e-07,2.726145752402834e-07,138779.83699986336,50,False,0.5146342851708592,3.509251267230354,,,,,,,,,,,0.6987180880907086,False,False
GODREJPROP,LODHA,0.4764081396639686,77,27527,1e-07,3.8661263872173653e-07,7.445868071030853e-07,135769.95270821353,50,False,0.9634143401219973,0.8429383157574464,,,,,,,,,,,0.9647350269969444,False,False
COFORGE,MPHASIS,0.4741179636834753,78,27527,1e-07,3.054585389899497e-07,5.27394635168266e-07,134947.38753612046,50,False,0.11771497021626659,6.336641503577606,,,,,,,,,,,0.5773396799788091,False,False
