pair,lagger_asset,ols_gross_pnl,ols_net_pnl,ols_trades,gross_win_rate,net_win_rate,mean_rev_exits,eod_exits,avg_price_captured,avg_fee_drag,spread_vol,mean_abs_dev,zero_crossings,half_life,kalman_q,adf_stat,adf_pval
SONACOMS-UBL,UBL,351.0,-69.13,8,0.5,0.5,0,8,1.3125,52.5169,0.044927,0.037123,285,1380.97,2.03e-06,,
GLENMARK-PIIND,PIIND,605.6,-69.16,13,0.3846,0.3846,0,13,3.6,51.9047,0.026508,0.021238,562,637.99,1.53e-06,,
ACE-ANANTRAJ,ANANTRAJ,461.6,-69.18,10,0.5,0.5,1,9,0.35,53.0776,0.03153,0.024027,539,601.62,2.29e-06,,
IRFC-SUNPHARMA,SUNPHARMA,247.0,-69.19,6,0.5,0.5,0,6,1.1167,52.6975,0.047201,0.039904,179,1331.93,2.32e-06,,
MANKIND-TITAN,TITAN,398.4,-69.26,9,0.4444,0.4444,1,8,3.3778,51.9622,0.038487,0.030441,293,1196.56,1.72e-06,,
ADANIENSOL-CASTROLIND,ADANIENSOL,492.65,-69.31,10,0.6,0.6,0,10,1.43,52.9884,0.058298,0.04386,548,616.74,7.63e-06,,
JKCEMENT-SUNPHARMA,JKCEMENT,437.5,-69.36,10,0.6,0.5,1,9,2.85,50.6859,0.035268,0.027506,326,922.74,1.87e-06,,
AUBANK-SIGNATURE,AUBANK,459.9,-69.38,10,0.7,0.6,1,9,0.755,52.9283,0.025172,0.020533,384,593.77,1.48e-06,,
PREMIERENE-ZENTEC,PREMIERENE,357.85,-69.39,8,0.5,0.375,0,8,0.85,53.4052,0.067174,0.054625,227,1376.89,4.54e-06,,
BANDHANBNK-PPLPHARMA,PPLPHARMA,356.53,-69.4,8,0.5,0.5,0,8,0.095,53.241,0.057681,0.045638,313,1975.45,2.33e-06,,
NATCOPHARM-TATASTEEL,NATCOPHARM,508.4,-69.42,11,0.5455,0.4545,0,11,0.4227,52.5287,0.044927,0.036863,265,1171.63,2.39e-06,,
IRCTC-TEGA,TEGA,244.4,-69.44,6,0.3333,0.3333,0,6,0.9333,52.3073,0.043462,0.034169,146,2097.26,1.25e-06,,
JSWDULUX-TECHNOE,JSWDULUX,-17.0,-69.6,1,0.0,0.0,0,1,-1.0,52.5955,0.011969,0.009094,258,137.19,1.44e-06,,
JSWDULUX-TIINDIA,JSWDULUX,-17.0,-69.6,1,0.0,0.0,0,1,-1.0,52.5955,0.013827,0.010927,288,183.84,1.44e-06,,
CHALET-CRISIL,CRISIL,442.4,-69.69,10,0.5,0.5,0,10,4.15,51.2095,0.026421,0.022049,430,484.43,1.99e-06,,
CAMS-ICICIAMC,ICICIAMC,344.5,-69.71,8,0.5,0.5,0,8,3.45,51.7759,0.041192,0.030808,276,1130.78,2.08e-06,,
APOLLOTYRE-KALYANKJIL,KALYANKJIL,730.15,-69.76,15,0.6,0.6,1,14,0.2833,53.3273,0.032385,0.026678,409,892.13,1.63e-06,,
ONGC-PIIND,PIIND,241.7,-69.85,6,0.5,0.5,0,6,2.8333,51.9246,0.027971,0.030028,125,796.27,1.36e-06,,
ITC-TITAN,ITC,196.05,-69.89,5,0.8,0.6,0,5,0.22,53.1871,0.035158,0.027429,284,1720.27,1e-06,,
HBLENGINE-SYNGENE,SYNGENE,144.15,-70.07,4,0.25,0.25,0,4,-0.375,53.5552,0.062777,0.049965,208,1130.64,4.83e-06,,
FSL-PNB,FSL,465.01,-70.1,10,0.4,0.4,0,10,0.186,53.511,0.076959,0.060307,225,3130.9,2.62e-06,,
