symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
M&M,TMPV,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
JSWENERGY,TATAPOWER,2.0,2.5,False,0.19999999999998863,1,1.0,b,0,1,0,0,0.19999999999998863,0.0
IREDA,TATAPOWER,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
LTM,MPHASIS,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
ADANIENSOL,ADANIPOWER,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
MPHASIS,WIPRO,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
ABB,SIEMENS,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
HEROMOTOCO,MARUTI,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
IRCON,MAZDOCK,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
PERSISTENT,TATAELXSI,3.5,0.0,False,20.0,1,1.0,b,1,0,0,0,20.0,0.0
GODREJPROP,NBCC,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
HDFCLIFE,SBILIFE,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BDL,IRFC,2.0,0.0,True,1.5400000000000063,16,0.25,b,6,0,10,0,1.6824999999999974,-0.4324999999999986
KAYNES,MAZDOCK,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
CENTRALBK,MAHABANK,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
INDIANB,SBIN,2.0,0.0,False,0.0,0,0.0,b,0,0,0,0,0.0,0.0
GAIL,IOC,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
AMBER,DIXON,2.0,0.0,False,0.0,0,0.0,a,0,0,0,0,0.0,0.0
BANKINDIA,CENTRALBK,3.0,0.0,False,2.039999999999992,1,1.0,a,1,0,0,0,2.039999999999992,0.0
