pair,ols_net_pnl,ols_trades,ols_win_rate,adf_stat,adf_pval
BAJAJ-AUTO-TVSMOTOR,1995.6514999999981,29,0.5517,-3.232,0.018208
COFORGE-TATAELXSI,-3051.350099999976,27,0.5185,-3.3143,0.014252
BDL-BEML,-4863.721300000023,18,0.3333,-2.6756,0.078348
IRFC-TITAGARH,6138.380960000006,22,0.5455,-3.2281,0.018414
INOXWIND-MAZDOCK,1254.6736149999997,11,0.6364,-2.4084,0.139367
OIL-ONGC,2271.914149999995,25,0.48,-3.7584,0.003362
HUDCO-RECLTD,-4256.095559999985,23,0.3043,-2.1978,0.20704
IRCON-NBCC,-3158.12727000001,14,0.5714,-2.8147,0.0562
DLF-NBCC,-3323.092249999996,28,0.3929,-4.0605,0.001125
IRFC-JWL,-3434.5527250000005,18,0.4444,-3.5223,0.007433
CDSL-MCX,-5200.483450000015,16,0.375,-3.8838,0.002157
M&M-TVSMOTOR,384.3754499999959,18,0.5556,-3.6535,0.004817
BDL-IREDA,-8740.422700000003,19,0.4211,-3.3319,0.013511
PERSISTENT-WIPRO,-2648.534649999997,21,0.4286,-2.67,0.079374
EICHERMOT-MARUTI,715.1877500000064,18,0.4444,-2.6626,0.080736
MPHASIS-TCS,-8692.805999999991,18,0.3889,-4.5982,0.00013
ACC-AMBUJACEM,3479.170750000032,27,0.4815,-7.084,0.0
DATAPATTNS-HAL,4153.512849999981,24,0.5417,-3.194,0.020333
COFORGE-KPITTECH,185.0750499999831,25,0.48,-2.5486,0.104099
LTM-PERSISTENT,4679.778649999993,24,0.625,-3.1015,0.026441
IRCTC-IRFC,-3903.110799999993,16,0.3125,-3.2738,0.016089
RECLTD-TATAPOWER,-1825.2205749999994,18,0.3889,-2.7558,0.064865
DLF-PHOENIXLTD,6180.342200000012,15,0.5333,-3.4544,0.00924
RVNL-SUZLON,-3554.1916649999957,24,0.4583,-3.1474,0.023237
EICHERMOT-M&M,-1618.726749999998,22,0.5,-2.3747,0.148993
DLF-IREDA,-6984.784400000024,21,0.1905,-3.0774,0.028268
ADANIENSOL-ADANIPOWER,3451.283524999999,17,0.6471,-3.8676,0.002286
COCHINSHIP-RVNL,-2030.6468999999797,21,0.4286,-3.3938,0.011172
GODREJPROP-PHOENIXLTD,6910.9479500000125,24,0.6667,-3.4105,0.010605
MOTHERSON-TMPV,3827.744975000014,27,0.5556,-4.4198,0.000274
ADANIENSOL-ADANIPORTS,3386.0542250000035,26,0.6154,-3.3064,0.014597
BDL-SOLARINDS,-2884.6150000000034,22,0.5,-2.7868,0.060178
IREDA-RAILTEL,2457.5530949999775,21,0.4762,-3.9342,0.001797
OFSS-TATAELXSI,-12938.529000000002,21,0.1429,-1.9302,0.317997
BEL-RVNL,9625.528650000004,21,0.5714,-3.2061,0.019633
JIOFIN-RVNL,1359.2321399999964,19,0.5789,-2.4699,0.122965
JSWSTEEL-NMDC,-1316.3230500000282,17,0.4706,-3.2061,0.019636
NHPC-TATAPOWER,3335.924089999984,24,0.5,-3.4376,0.009742
HAL-RVNL,2863.2725499999997,14,0.5,-3.0233,0.032778
LTM-MPHASIS,-3908.424400000019,23,0.3913,-4.1803,0.000711
HINDALCO-JSWSTEEL,-1973.4024000000009,18,0.6111,-3.5747,0.006264
LTM-TECHM,-632.2551000000021,22,0.4091,-3.4389,0.009701
GRSE-ZENTEC,3071.5582999999824,20,0.5,-2.9413,0.040748
