pair,ols_net_pnl,ols_trades,ols_win_rate,eod_exits,mean_exits
BEL-BHEL,-1777.4908999999898,13,0.4615,13,0
TATAELXSI-TATATECH,-4070.762450000011,16,0.4375,16,0
NTPC-TATAPOWER,-2116.4583000000057,19,0.4737,19,0
BANKINDIA-RBLBANK,-1561.7683899999938,18,0.3889,18,0
HCLTECH-LTM,-1931.0859500000042,18,0.4444,18,0
OFSS-TECHM,-8839.707750000003,24,0.2917,24,0
RAILTEL-RITES,1189.2442249999804,18,0.4444,18,0
JINDALSTEL-SAIL,-720.0572499999853,22,0.4091,22,0
BEML-DATAPATTNS,-3892.7302499999987,12,0.3333,12,0
DLF-IRFC,2557.1544749999757,16,0.625,16,0
OFSS-WIPRO,-11150.308250000004,19,0.1579,19,0
ADANIGREEN-IREDA,-6800.613549999969,21,0.2857,21,0
IREDA-SJVN,-80.17412999998669,13,0.5385,13,0
ETERNAL-SWIGGY,-1556.5183449999968,21,0.4762,21,0
DLF-RECLTD,-3850.201524999996,17,0.4706,17,0
DLF-JIOFIN,83.07187499998327,22,0.5455,22,0
INOXWIND-JIOFIN,7071.354305000019,16,0.625,16,0
ADANIENSOL-TATAPOWER,-7247.3685250000035,22,0.3636,22,0
INOXWIND-RECLTD,532.9896600000175,18,0.5556,18,0
CENTRALBK-UCOBANK,7194.1005150000165,18,0.6667,18,0
GAIL-TATAPOWER,-728.7166849999994,26,0.4615,26,0
MPHASIS-TATAELXSI,-2150.092550000002,20,0.5,20,0
MAZDOCK-ZENTEC,4290.652100000003,14,0.4286,14,0
IRCTC-IREDA,-788.7157249999927,13,0.5385,13,0
JIOFIN-SUZLON,-8154.986264999986,17,0.3529,17,0
BAJFINANCE-CHOLAFIN,-4591.433175000001,12,0.3333,12,0
TATAELXSI-WIPRO,-1972.3665499999915,18,0.5,18,0
BDL-INOXWIND,-10810.122500000012,11,0.3636,11,0
GODREJPROP-IREDA,5617.454549999984,20,0.75,20,0
AMBER-DIXON,-21457.941999999995,27,0.2593,27,0
GRSE-RVNL,-13389.442399999982,26,0.4231,25,1
TATAELXSI-TCS,4209.427149999998,15,0.6667,15,0
ADANIENT-ADANIPOWER,-2237.919399999995,21,0.4762,21,0
COCHINSHIP-NBCC,-4171.468199999992,28,0.4643,28,0
IREDA-NHPC,-2743.6061150000087,11,0.2727,11,0
HAL-NBCC,-8943.277450000001,19,0.3684,19,0
OFSS-TCS,-10324.033,21,0.2381,21,0
ADANIENT-JIOFIN,1569.6200999999783,23,0.4348,23,0
JIOFIN-PFC,-2146.8172549999963,18,0.3333,18,0
IREDA-TITAGARH,3415.142645,21,0.5238,21,0
KPITTECH-MPHASIS,2305.211624999991,17,0.7059,17,0
ABCAPITAL-JIOFIN,-6035.773999999974,24,0.3333,23,1
CANBK-JIOFIN,-4618.026550000016,18,0.3333,18,0
KPITTECH-OFSS,-4503.377874999984,12,0.3333,12,0
