symbol_a,symbol_b,best_z_entry,best_z_sl,best_hl_stop,gross_profit,trade_count,win_rate,lagger,ou_sigma,ou_mu,exit_mr_count,exit_sl_count,exit_hl_count,exit_session_count,avg_points_profit,avg_points_loss
COCHINSHIP,GRSE,2.0,0.0,False,2458.2999999999947,356,0.8651685393258427,a,0.0011520951197174,-3.8940591483069394e-07,346,0,0,10,8.479870129870122,-3.1979166666666905
BANKINDIA,CANBK,2.0,0.0,False,416.2000000000003,750,0.9346666666666666,a,0.0008945636570392,-1.2382052069083671e-06,717,0,0,33,0.6094151212553497,-0.2244897959183691
BDL,HAL,2.0,0.0,False,5679.399999999998,705,0.75177304964539,b,0.0013555047084966,7.92058634326401e-07,656,0,0,49,14.015283018867924,-9.992571428571441
BANKINDIA,UNIONBANK,2.0,0.0,False,468.65999999999997,859,0.9254947613504074,a,0.0008987400267528,-5.515501041522674e-07,820,0,0,39,0.6140754716981128,-0.3051562499999987
HAL,MAZDOCK,2.0,4.0,False,186.7000000000039,242,0.4669421487603306,b,0.0008606672476955,-2.741068153285598e-07,225,15,0,2,8.953982300884977,-6.396124031007741
HINDPETRO,IOC,2.0,6.5,False,97.64999999999958,830,0.591566265060241,b,0.0010061186298002,-8.48098962253437e-07,765,32,0,33,0.38820773930753544,-0.2742182890855467
ADANIENT,ADANIGREEN,2.0,0.0,False,1011.4499999999999,788,0.618020304568528,b,0.000902352276422,3.739489471166861e-06,752,0,0,36,3.6064681724845995,-2.474750830564785
IREDA,IRFC,2.0,0.0,False,94.34999999999985,182,0.9065934065934066,a,0.0009706950447403,4.2986648838200994e-07,180,0,0,2,0.5921818181818178,-0.1976470588235344
BANKBARODA,PNB,2.0,11.0,False,254.7599999999997,674,0.6646884272997032,a,0.0008691703266768,-3.9697335058358073e-07,640,3,0,31,0.8040848214285712,-0.46668141592920365
BANKINDIA,PNB,2.0,12.5,False,382.30999999999995,751,0.9214380825565912,a,0.0008831537509208,2.2926162204614935e-08,718,1,0,32,0.5729624277456646,-0.24033898305084372
BEL,MAZDOCK,2.5,6.5,False,716.5000000000009,303,0.5412541254125413,b,0.0009116953955997,-1.857349495898737e-06,273,15,0,15,10.49085365853658,-7.2230215827338
CANBK,UNIONBANK,2.0,15.5,False,386.72000000000025,800,0.8225,b,0.0011211285438631,2.2516191346491948e-06,762,1,0,37,0.6598024316109425,-0.3340140845070429
ADANIENSOL,ADANIGREEN,2.0,0.0,False,1119.4999999999986,739,0.6630581867388363,b,0.0011518330599208,-2.2607393588853777e-07,707,0,0,32,3.319285714285708,-2.0359437751004004
COCHINSHIP,MAZDOCK,2.0,0.0,False,2773.300000000001,732,0.6994535519125683,a,0.0011987191639382,-2.11568194304168e-06,692,0,0,40,7.103515625000001,-3.9259090909090952
BDL,BEL,2.0,0.0,False,460.3499999999998,776,0.6791237113402062,b,0.001204907613515,2.63556298163764e-06,738,0,0,38,1.3026565464895643,-0.9082329317269087
BANKBARODA,BANKINDIA,2.0,0.0,False,411.2400000000009,890,0.8820224719101124,b,0.0010989808208883,-5.705121715019033e-07,854,0,0,36,0.5551974522292996,-0.23419047619047514
BDL,GRSE,2.0,10.0,False,995.3000000000015,941,0.5111583421891605,b,0.000511758044805432,-9.180724965601072e-08,938,1,0,2,6.8952182952183,-5.046304347826088
HINDZINC,VEDL,2.0,0.0,False,196.19000000000008,787,0.5743329097839899,b,0.0010618068965906,-4.090108097635023e-06,739,0,0,48,0.8528097345132751,-0.5650149253731352
DLF,GODREJPROP,2.0,0.0,False,385.2999999999995,159,0.89937106918239,a,0.0009836499474394,2.3103163173450835e-08,158,0,0,1,2.797202797202794,-0.9187500000000028
NATIONALUM,VEDL,2.0,0.0,False,1126.45,820,0.8707317073170732,a,0.0011174854794861,2.149921872009738e-06,771,0,0,49,1.7211484593837523,-0.966509433962263
PNB,UNIONBANK,2.0,0.0,False,236.91999999999985,777,0.8455598455598455,a,0.0007736033187281,-6.780603723739238e-07,738,0,0,39,0.39056316590563134,-0.16400000000000042
IRCON,RVNL,2.0,0.0,False,462.33999999999867,838,0.9367541766109785,a,0.0005515925495439206,8.587958871017618e-08,834,0,0,4,0.6019235668789794,-0.19188679245283075
GRAPHITE,HEG,2.0,0.0,False,1825.2499999999975,738,0.8265582655826558,b,0.0021385310058181,-8.357083146912174e-06,699,0,0,39,3.2536065573770485,-1.2457031250000075
BANKBARODA,UNIONBANK,2.0,0.0,False,734.4799999999998,797,0.93099121706399,a,0.0008446929656029,-7.871100852618078e-07,761,0,0,36,1.018571428571428,-0.38727272727272644
ADANIENT,ADANIPORTS,2.0,0.0,False,2502.2000000000044,788,0.8134517766497462,b,0.0012476023838773,1.5060367952924585e-06,732,0,0,56,4.520904836193451,-2.6918367346938576
HINDZINC,NATIONALUM,3.0,3.5,False,14.099999999999966,335,0.4955223880597015,b,0.0012104304989771,-5.334930914731585e-06,122,210,0,3,0.8897590361445762,-0.7905325443786964
BANKINDIA,INDIANB,2.0,0.0,False,325.35999999999956,646,0.8962848297213623,a,0.0009547683777956,-4.3195632203856833e-07,627,0,0,19,0.5919861830742654,-0.2597014925373144
HCLTECH,TCS,2.0,14.0,False,1403.7999999999975,835,0.6119760479041916,b,0.0007526397510854,7.917612095398403e-06,782,3,0,50,6.12778864970646,-5.331790123456801
IRCON,RAILTEL,2.0,0.0,True,35.75999999999959,138,0.45652173913043476,b,0.0014529554807298,-2.852785699787894e-07,98,0,39,1,1.4685714285714273,-0.7568000000000045
HINDALCO,NATIONALUM,2.0,0.0,False,416.1999999999996,594,0.6801346801346801,b,0.0009766611555767,1.009865652308304e-06,574,0,0,20,1.5137376237623756,-1.0281578947368435
DATAPATTNS,GRSE,2.0,0.0,False,5249.5,227,0.9427312775330396,a,0.0016178921148429,-6.453876074616586e-08,224,0,0,3,25.060280373831784,-8.723076923076896
IREDA,RVNL,2.0,0.0,False,79.13999999999999,149,0.912751677852349,a,0.0010350443772821,4.38274406078313e-07,149,0,0,0,0.5967647058823532,-0.15538461538461945
JSWSTEEL,TATASTEEL,5.5,6.0,False,5.189999999999884,48,0.5416666666666666,b,0.0007297118732488,9.156357558833546e-07,26,22,0,0,0.5407692307692298,-0.40318181818182225
IRCON,IRFC,2.5,0.0,True,11.169999999999959,85,0.4588235294117647,b,0.0013543085072059,5.2034165442947546e-08,52,0,33,0,0.5979487179487177,-0.26413043478260945
INDIANB,UNIONBANK,2.0,10.0,False,130.76000000000002,854,0.6053864168618267,b,0.0009391005811201,3.164927251366644e-07,814,5,0,35,0.5467117988394582,-0.4507121661721067
BSE,CDSL,11.5,13.0,False,23.40000000000032,16,0.75,b,0.0012689378979189,4.862522967744941e-06,2,14,0,0,2.9750000000000227,-3.0749999999999886
HCLTECH,INFY,2.0,0.0,False,3370.900000000008,832,0.9134615384615384,a,0.0007458304263878,7.352765278644276e-06,780,0,0,52,4.624078947368428,-1.9916666666666585
NBCC,RVNL,2.0,0.0,False,554.4599999999989,766,0.6840731070496083,b,0.0010990988629325,-6.857918808040483e-06,725,0,0,41,1.3654389312977107,-0.6654132231404981
